City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,17.98,89,30,3.65,MG,1687493820
1,taksimo,56.3444,114.8794,28.74,34,45,1.5,RU,1687493820
2,port-aux-francais,-49.35,70.2167,8.12,97,100,17.42,TF,1687493820
3,waitangi,-43.9535,-176.5597,11.01,81,8,1.79,NZ,1687493820
4,adamstown,-25.066,-130.1015,20.63,50,45,8.6,PN,1687493820
5,gadzhiyevo,69.2551,33.3362,15.71,57,10,3.93,RU,1687493820
6,georgetown,5.4112,100.3354,31.96,62,20,3.09,MY,1687493535
7,kenai,60.5544,-151.2583,13.05,93,100,2.06,US,1687493821
8,olonkinbyen,70.9221,-8.7187,3.1,83,85,4.11,SJ,1687493821
9,cabo san lucas,22.8909,-109.9124,28.06,69,6,2.25,MX,1687493733
10,edinburgh of the seven seas,-37.0676,-12.3116,11.55,59,99,7.06,SH,1687493821
11,grytviken,-54.2811,-36.5092,0.86,84,100,2.77,GS,1687493821
12,ilhabela,-23.7781,-45.3581,20.3,69,10,1.65,BR,1687493821
13,bandarbeyla,9.4942,50.8122,26.2,67,55,9.86,SO,1687493822
14,aykhal,66.0,111.5,16.54,76,100,2.75,RU,1687493822
15,opuwo,-18.0607,13.84,12.6,25,0,2.56,NA,1687493822
16,beidaihehaibin,39.8222,119.5181,26.76,54,74,2.51,CN,1687493822
17,findlay,41.0442,-83.6499,20.07,81,100,3.6,US,1687493822
18,nelspruit,-25.4745,30.9703,13.16,94,90,1.03,ZA,1687493822
19,kodiak,57.79,-152.4072,9.73,93,100,2.06,US,1687493822
20,hawaiian paradise park,19.5933,-154.9731,24.85,88,100,0.0,US,1687493823
21,invercargill,-46.4,168.35,10.57,84,95,2.65,NZ,1687493823
22,roma,43.2128,-75.4557,20.28,74,0,2.06,US,1687493604
23,anadyr,64.75,177.4833,8.28,81,100,3.0,RU,1687493823
